X1,Y1,X2,Y2,X3,Y3,X4,Y4,Angle,X5,Y5,X6,Y6,X7,Y7,X8,Y8,Angle number,RightorLeft
0.860019326,-3.096488237,0.753412902,-2.530522108,0.629330814,-1.962419391,0.361692041,-1.227910876,15.95800544,0.456453919,-2.852604628,0.565660954,-2.188466311,0.568862855,-1.593943238,0.363600522,-0.907819569,2,0
0.456453919,-2.852604628,0.565660954,-2.188466311,0.568862855,-1.593943238,0.363600522,-0.907819569,16.42408447,-0.462493062,-2.031485558,-0.125548959,-1.528303623,0.123850033,-1.026632905,0.238231406,-0.510582983,3,0
-0.462493062,-2.031485558,-0.125548959,-1.528303623,0.123850033,-1.026632905,0.238231406,-0.510582983,15.63517816,-0.915264368,-0.867297769,-0.556912422,-0.619065285,-0.347118586,-0.385286212,-0.006106163,-0.007940475,4,0
0.10636878,-2.186938763,0.11618799,-1.520863652,0.142726958,-0.703652382,0.068778068,0.17058526,26.29968454,0.381094247,-3.316631317,0.390071571,-2.754066706,0.427469343,-2.131406784,0.336888194,-1.266161203,1,0
0.381094247,-3.316631317,0.390071571,-2.754066706,0.427469343,-2.131406784,0.336888194,-1.266161203,15.05076497,-0.262968481,-3.256482601,-0.094474196,-2.594541073,0.073604167,-1.954448342,0.088473827,-1.111490846,2,0
-0.262968481,-3.256482601,-0.094474196,-2.594541073,0.073604167,-1.954448342,0.088473827,-1.111490846,13.80723144,-0.970939875,-2.595038176,-0.683582902,-2.042165279,-0.376025468,-1.472786307,-0.190104455,-0.800848424,3,0
-0.970939875,-2.595038176,-0.683582902,-2.042165279,-0.376025468,-1.472786307,-0.190104455,-0.800848424,14.90220048,-1.493573904,-1.457449913,-1.151121855,-1.159288645,-0.929195166,-0.890321553,-0.549895465,-0.352398574,4,0
-0.304092944,-1.99758482,-0.215962887,-1.307632208,-0.116897345,-0.45408529,-0.069021642,0.416620165,15.05121434,0.055419415,-3.592592239,0.131205022,-2.973669291,0.252867222,-2.286042929,0.242097914,-1.32952106,1,0
0.055419415,-3.592592239,0.131205022,-2.973669291,0.252867222,-2.286042929,0.242097914,-1.32952106,12.91500622,-0.344932497,-3.766955137,-0.137432307,-2.997226477,0.053302914,-2.26987052,0.066792466,-1.308214664,2,0
-0.344932497,-3.766955137,-0.137432307,-2.997226477,0.053302914,-2.26987052,0.066792466,-1.308214664,7.824199639,-0.905729175,-3.185207844,-0.604510188,-2.520129204,-0.291183263,-1.861469626,-0.161198869,-1.063399434,3,0
